,train_loss,val_accuracy
0,6.8344426,0.9456667
1,2.4505959,0.96975
2,1.9506817,0.97825
3,1.6609612,0.98041666
4,1.4562258,0.9845
5,1.3378208,0.98433334
6,1.2162038,0.9855833
7,1.1385721,0.98583335
8,1.0707213,0.98675
9,1.0068997,0.98683333
10,0.9608409,0.9891667
11,0.9216166,0.988
12,0.8862743,0.98808336
13,0.85218686,0.98683333
14,0.82170415,0.98975
15,0.7955119,0.9891667
16,0.7676774,0.98908335
17,0.74982864,0.99008334
18,0.7286387,0.99
19,0.7139712,0.9884167
20,0.6906572,0.99058336
21,0.67570835,0.9895
22,0.6555376,0.9895833
23,0.6444245,0.9910833
24,0.63484824,0.99016666
25,0.6171978,0.98975
26,0.6033905,0.99075
27,0.59327346,0.9914167
28,0.5847613,0.9906667
29,0.5805049,0.99075
30,0.56733024,0.9906667
31,0.5560839,0.9918333
32,0.55630785,0.9916667
33,0.5390413,0.98975
34,0.52650577,0.99041665
35,0.5318964,0.99058336
36,0.5207458,0.9918333
37,0.51211256,0.99058336
38,0.50929195,0.9899167
39,0.4990389,0.99158335
40,0.49724215,0.9910833
41,0.49334058,0.99
42,0.4883661,0.9915
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
