,val_accuracy,train_loss
0,0.93475,14.396953
1,0.96216667,4.068126
2,0.97358334,2.8930845
3,0.97933334,2.3760974
4,0.981,2.0811112
5,0.983,1.8517857
6,0.98466665,1.6786478
7,0.98516667,1.5469949
8,0.9878333,1.4273473
9,0.98683333,1.3558847
10,0.98641664,1.2732508
11,0.98725,1.1963264
12,0.9885833,1.1374384
13,0.98825,1.0703558
14,0.98966664,1.0322267
15,0.99,0.9804573
16,0.99041665,0.93913263
17,0.989,0.9055084
18,0.98983335,0.8693657
19,0.98975,0.86668724
20,0.98933333,0.8073622
21,0.99075,0.80557835
22,0.9914167,0.7978353
23,0.99075,0.7602695
24,0.98966664,0.75310606
25,0.99041665,0.72917944
26,0.99125,0.7285613
27,0.9906667,0.7020759
28,0.99083334,0.6873769
29,0.9906667,0.6687685
30,0.99058336,0.67534894
31,0.9910833,0.6517725
32,0.99008334,0.6420591
33,0.9913333,0.6414656
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
