,train_loss,val_accuracy
0,0.9930447,0.8689167
1,0.61673546,0.87158334
2,0.592548,0.88091666
3,0.57923305,0.883
4,0.5720713,0.8835833
5,0.56594014,0.885
6,0.56183934,0.88475
7,0.5568612,0.88591665
8,0.5575143,0.88725
9,0.5517318,0.88458335
10,0.5506309,0.88666666
11,0.54959446,0.88816667
12,0.54744756,0.88733333
13,0.54738986,0.889
14,0.54523957,0.888
15,0.5443,0.88691664
16,0.543882,0.8885
17,0.54112023,0.8850833
18,0.5437387,0.88783336
19,0.54152155,0.88841665
20,0.53914046,0.88816667
21,0.541048,0.889
22,0.53836566,0.88991666
23,0.5395274,0.8875
24,0.53870964,0.8883333
25,0.535998,0.88808334
26,0.5365165,0.8871667
27,0.53514045,0.8895
28,0.5373612,0.889
29,0.5363042,0.88916665
30,0.5344821,0.88841665
31,0.53527194,0.889
32,0.53354126,0.88591665
33,0.5359411,0.88775
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
