,train_loss,val_accuracy
0,0.36723423,0.9669167
1,0.080304846,0.9791667
2,0.061301995,0.98291665
3,0.051954858,0.98408335
4,0.046471216,0.98616666
5,0.042335983,0.9878333
6,0.038586576,0.986
7,0.034241498,0.9881667
8,0.03375388,0.9860833
9,0.0312425,0.9855833
10,0.02839652,0.98683333
11,0.02537022,0.98933333
12,0.026550272,0.9885833
13,0.027104288,0.9875
14,0.025227552,0.9889167
15,0.02191979,0.9895
16,0.021566447,0.99041665
17,0.02228825,0.9888333
18,0.020330261,0.99025
19,0.01969377,0.98875
20,0.016344143,0.99058336
21,0.019619886,0.98833334
22,0.016931582,0.99025
23,0.017084967,0.98641664
24,0.020949552,0.98833334
25,0.016711785,0.98575
26,0.015810996,0.9885833
27,0.01498163,0.99116665
28,0.015737716,0.9899167
29,0.014826015,0.99175
30,0.012617536,0.98941666
31,0.017849935,0.98941666
32,0.0146171,0.9914167
33,0.018396791,0.9895
34,0.014313617,0.98866665
35,0.0127535695,0.9891667
36,0.013956958,0.9906667
37,0.015193955,0.9885
38,0.014544936,0.9913333
39,0.015552096,0.99175
40,0.011727272,0.9888333
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
