,train_loss,val_accuracy
0,15.264025,0.9353333
1,4.6741157,0.9645
2,3.4434235,0.9715
3,2.8407407,0.9775
4,2.4324312,0.98225
5,2.1540153,0.98441666
6,1.9970281,0.98525
7,1.8726127,0.987
8,1.7729514,0.98733336
9,1.6516258,0.98775
10,1.5555549,0.98808336
11,1.4649225,0.98966664
12,1.4014624,0.98983335
13,1.3277586,0.98933333
14,1.2756106,0.99041665
15,1.2162904,0.9895833
16,1.1746145,0.99191666
17,1.1471225,0.9913333
18,1.0887477,0.9918333
19,1.0604059,0.9899167
20,1.02674,0.99191666
21,1.000613,0.99083334
22,0.9773842,0.992
23,0.9417788,0.99291664
24,0.91474116,0.9924167
25,0.895379,0.992
26,0.88281435,0.9928333
27,0.8485761,0.99233335
28,0.8342457,0.9928333
29,0.82048136,0.99291664
30,0.7920313,0.99225
31,0.78785014,0.99275
32,0.7781406,0.99175
33,0.7514469,0.9924167
34,0.73597175,0.9928333
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
